sequence_id,tof_prop_missing,gesture,pred_imu,pred_all
SEQ_000007,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000008,0.0,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_000013,0.0,Cheek - pinch skin,Cheek - pinch skin,Eyebrow - pull hair
SEQ_000016,0.0,Write name on leg,Scratch knee/leg skin,Write name on leg
SEQ_000018,0.0,Forehead - pull hairline,Forehead - scratch,Forehead - scratch
SEQ_000022,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_000033,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_000034,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_000046,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_000053,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_000058,0.0,Eyebrow - pull hair,Forehead - pull hairline,Eyebrow - pull hair
SEQ_000063,0.0,Eyelash - pull hair,Cheek - pinch skin,Cheek - pinch skin
SEQ_000079,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_000091,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000092,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000111,0.0,Wave hello,Pull air toward your face,Pull air toward your face
SEQ_000113,0.0,Wave hello,Wave hello,Wave hello
SEQ_000114,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_000142,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_000150,0.0,Write name in air,Write name in air,Write name in air
SEQ_000166,0.0,Neck - pinch skin,Neck - scratch,Neck - scratch
SEQ_000169,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000174,0.2,Neck - pinch skin,Neck - scratch,Neck - scratch
SEQ_000182,0.0,Eyebrow - pull hair,Neck - pinch skin,Eyelash - pull hair
SEQ_000210,0.0,Neck - scratch,Neck - scratch,Forehead - pull hairline
SEQ_000220,0.0,Text on phone,Text on phone,Text on phone
SEQ_000237,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_000239,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_000240,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000245,0.0,Wave hello,Wave hello,Wave hello
SEQ_000250,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_000255,0.0,Text on phone,Text on phone,Text on phone
SEQ_000259,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Forehead - pull hairline
SEQ_000266,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_000281,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_000284,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000297,0.0,Write name in air,Write name in air,Write name in air
SEQ_000313,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_000320,0.0,Above ear - pull hair,Neck - scratch,Above ear - pull hair
SEQ_000322,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_000323,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000326,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_000331,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000335,0.0,Neck - scratch,Neck - pinch skin,Neck - scratch
SEQ_000354,0.0,Forehead - pull hairline,Write name in air,Write name in air
SEQ_000360,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_000365,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000366,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_000367,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_000371,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_000386,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_000389,1.0,Forehead - scratch,Forehead - scratch,Cheek - pinch skin
SEQ_000412,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000416,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000417,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_000419,0.0,Pinch knee/leg skin,Scratch knee/leg skin,Pinch knee/leg skin
SEQ_000430,0.0,Neck - pinch skin,Neck - scratch,Neck - scratch
SEQ_000436,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_000449,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000458,0.0,Write name in air,Write name in air,Write name in air
SEQ_000461,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_000464,0.0,Neck - scratch,Neck - pinch skin,Neck - pinch skin
SEQ_000475,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000492,0.0,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_000502,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_000504,0.0,Text on phone,Text on phone,Text on phone
SEQ_000508,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_000510,0.0,Wave hello,Wave hello,Wave hello
SEQ_000517,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000525,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_000527,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000536,0.0,Wave hello,Wave hello,Wave hello
SEQ_000541,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000544,0.0,Cheek - pinch skin,Eyelash - pull hair,Eyelash - pull hair
SEQ_000546,0.0,Forehead - pull hairline,Neck - pinch skin,Forehead - pull hairline
SEQ_000548,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_000571,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000586,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_000589,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_000602,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000603,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_000615,0.0,Text on phone,Text on phone,Text on phone
SEQ_000617,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_000626,0.0,Above ear - pull hair,Forehead - pull hairline,Above ear - pull hair
SEQ_000641,0.0,Eyebrow - pull hair,Above ear - pull hair,Forehead - pull hairline
SEQ_000682,0.0,Text on phone,Text on phone,Text on phone
SEQ_000693,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000714,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_000733,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000736,0.0,Write name in air,Write name in air,Write name in air
SEQ_000737,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_000749,0.0,Eyebrow - pull hair,Forehead - scratch,Eyebrow - pull hair
SEQ_000752,0.0,Cheek - pinch skin,Neck - scratch,Forehead - scratch
SEQ_000765,0.0,Neck - pinch skin,Neck - scratch,Neck - pinch skin
SEQ_000766,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_000772,0.0,Eyelash - pull hair,Text on phone,Text on phone
SEQ_000778,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_000780,0.0,Neck - scratch,Above ear - pull hair,Above ear - pull hair
SEQ_000783,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000789,0.0,Neck - scratch,Above ear - pull hair,Neck - pinch skin
SEQ_000792,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_000793,0.0,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin
SEQ_000798,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000805,0.0,Eyebrow - pull hair,Forehead - scratch,Eyebrow - pull hair
SEQ_000807,0.0,Eyelash - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_000810,0.0,Wave hello,Wave hello,Wave hello
SEQ_000821,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_000824,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_000835,0.0,Eyebrow - pull hair,Neck - pinch skin,Neck - pinch skin
SEQ_000838,0.0,Neck - pinch skin,Neck - pinch skin,Neck - scratch
SEQ_000846,0.0,Text on phone,Text on phone,Text on phone
SEQ_000849,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_000851,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_000862,0.0,Neck - pinch skin,Neck - pinch skin,Neck - scratch
SEQ_000864,0.0,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_000874,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
